"FID catalogue Schmidt 2026","GEMEINDE","KREIS","BUNDESLAND","LAND","LAND_QID","LAND_GeoNames","LAND_matchLabel","LAND_matchScore","LAND_matchReason","LAND_TGN","LAND_IDAI","LAND_OSM_Relation","BUNDESLAND_QID","BUNDESLAND_GeoNames","BUNDESLAND_matchLabel","BUNDESLAND_matchScore","BUNDESLAND_matchReason","BUNDESLAND_TGN","BUNDESLAND_IDAI","BUNDESLAND_OSM_Relation","KREIS_QID","KREIS_GeoNames","KREIS_matchLabel","KREIS_matchScore","KREIS_matchReason","KREIS_TGN","KREIS_IDAI","KREIS_OSM_Relation"
"1","Behringen","Wartburgkreis","Thüringen","Deutschland","Q183","2921044","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","7000084","2044274","51477","Q1205","2822542","Thüringen","1.0","Exact match via rdfs:label [global index] | 'Thüringen' -> 'Thüringen'","7003689","2052949","62366","Q7866","6547388","Wartburgkreis","1.0","Exact match via rdfs:label [global index] | 'Wartburgkreis' -> 'Wartburgkreis'","","","62616"
"2","Nessetal","Gotha","Thüringen","Deutschland","Q183","2921044","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","7000084","2044274","51477","Q1205","2822542","Thüringen","1.0","Exact match via rdfs:label [global index] | 'Thüringen' -> 'Thüringen'","7003689","2052949","62366","Q7869","","Landkreis Gotha","1.0","Direct override | 'Gotha' -> QID=Q7869 | [override -> QID=Q7869]","","",""
"3","Nottertal-Heilinger Höhen","Unstrut-Hainich-Kreis","Thüringen","Deutschland","Q183","2921044","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","7000084","2044274","51477","Q1205","2822542","Thüringen","1.0","Exact match via rdfs:label [global index] | 'Thüringen' -> 'Thüringen'","7003689","2052949","62366","Q7864","6547389","Unstrut-Hainich-Kreis","1.0","Exact match via rdfs:label [global index] | 'Unstrut-Hainich-Kreis' -> 'Unstrut-Hainich-Kreis'","","","62424"
"4","Halberstadt","Landkreis Harz","Sachsen-Anhalt","Deutschland","Q183","2921044","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","7000084","2044274","51477","Q1206","2842565","Sachsen-Anhalt","1.0","Exact match via rdfs:label [global index] | 'Sachsen-Anhalt' -> 'Sachsen-Anhalt'","7003687","2044275","62607","Q6087","","Landkreis Harz","1.0","Direct override | 'Landkreis Harz' -> QID=Q6087 | [stripped -> 'Harz'; override -> QID=Q6087]","","",""
"5","Knidelbrück","Sommerda","Thüringen","Deutschland","Q183","2921044","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","7000084","2044274","51477","Q1205","2822542","Thüringen","1.0","Exact match via rdfs:label [global index] | 'Thüringen' -> 'Thüringen'","7003689","2052949","62366","Q7865","","Landkreis Sömmerda","1.0","Direct override | 'Sommerda' -> QID=Q7865 | [alias 'Sommerda' -> 'Sömmerda'; override -> QID=Q7865]","","",""
"6","Quedlinburg","Landkreis Harz","Sachsen-Anhalt","Deutschland","Q183","2921044","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","7000084","2044274","51477","Q1206","2842565","Sachsen-Anhalt","1.0","Exact match via rdfs:label [global index] | 'Sachsen-Anhalt' -> 'Sachsen-Anhalt'","7003687","2044275","62607","Q6087","","Landkreis Harz","1.0","Direct override | 'Landkreis Harz' -> QID=Q6087 | [stripped -> 'Harz'; override -> QID=Q6087]","","",""
"7","Quedlinburg","Landkreis Harz","Sachsen-Anhalt","Deutschland","Q183","2921044","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","7000084","2044274","51477","Q1206","2842565","Sachsen-Anhalt","1.0","Exact match via rdfs:label [global index] | 'Sachsen-Anhalt' -> 'Sachsen-Anhalt'","7003687","2044275","62607","Q6087","","Landkreis Harz","1.0","Direct override | 'Landkreis Harz' -> QID=Q6087 | [stripped -> 'Harz'; override -> QID=Q6087]","","",""
"8","Quedlinburg","Landkreis Harz","Sachsen-Anhalt","Deutschland","Q183","2921044","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","7000084","2044274","51477","Q1206","2842565","Sachsen-Anhalt","1.0","Exact match via rdfs:label [global index] | 'Sachsen-Anhalt' -> 'Sachsen-Anhalt'","7003687","2044275","62607","Q6087","","Landkreis Harz","1.0","Direct override | 'Landkreis Harz' -> QID=Q6087 | [stripped -> 'Harz'; override -> QID=Q6087]","","",""
"9","Seeland","Salzlandkreis","Sachsen-Anhalt","Deutschland","Q183","2921044","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","7000084","2044274","51477","Q1206","2842565","Sachsen-Anhalt","1.0","Exact match via rdfs:label [global index] | 'Sachsen-Anhalt' -> 'Sachsen-Anhalt'","7003687","2044275","62607","Q6081","2950072","Salzlandkreis","1.0","Exact match via rdfs:label [global index] | 'Salzlandkreis' -> 'Salzlandkreis'","","2044961","62502"
"10","Mellingen","Weimarer Land","Thüringen","Deutschland","Q183","2921044","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","7000084","2044274","51477","Q1205","2822542","Thüringen","1.0","Exact match via rdfs:label [global index] | 'Thüringen' -> 'Thüringen'","7003689","2052949","62366","Q7879","","Weimarer Land","1.0","Direct override | 'Weimarer Land' -> QID=Q7879 | [override -> QID=Q7879]","","",""
"11","Weimar","Weimarer Land","Thüringen","Deutschland","Q183","2921044","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","7000084","2044274","51477","Q1205","2822542","Thüringen","1.0","Exact match via rdfs:label [global index] | 'Thüringen' -> 'Thüringen'","7003689","2052949","62366","Q7879","","Weimarer Land","1.0","Direct override | 'Weimarer Land' -> QID=Q7879 | [override -> QID=Q7879]","","",""
"12","Kaiserpfalz","Burgenlandkreis","Sachsen-Anhalt","Deutschland","Q183","2921044","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","7000084","2044274","51477","Q1206","2842565","Sachsen-Anhalt","1.0","Exact match via rdfs:label [global index] | 'Sachsen-Anhalt' -> 'Sachsen-Anhalt'","7003687","2044275","62607","Q14920405","3302156","Burgenlandkreis","1.0","Exact match via rdfs:label [global index] | 'Burgenlandkreis' -> 'Burgenlandkreis'","","","62639"
"13","Staßfurt","Salzlandkreis","Sachsen-Anhalt","Deutschland","Q183","2921044","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","7000084","2044274","51477","Q1206","2842565","Sachsen-Anhalt","1.0","Exact match via rdfs:label [global index] | 'Sachsen-Anhalt' -> 'Sachsen-Anhalt'","7003687","2044275","62607","Q6081","2950072","Salzlandkreis","1.0","Exact match via rdfs:label [global index] | 'Salzlandkreis' -> 'Salzlandkreis'","","2044961","62502"
"14","Lutherstadt Eilsleben","Mansfeld-Südharz","Sachsen-Anhalt","Deutschland","Q183","2921044","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","7000084","2044274","51477","Q1206","2842565","Sachsen-Anhalt","1.0","Exact match via rdfs:label [global index] | 'Sachsen-Anhalt' -> 'Sachsen-Anhalt'","7003687","2044275","62607","Q6092","","Landkreis Mansfeld-Südharz","1.0","Direct override | 'Mansfeld-Südharz' -> QID=Q6092 | [override -> QID=Q6092]","","",""
